127.0.0.1 - - [14/Jan/2022:19:08:24 +0900] "GET / HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:08:48 +0900] "GET / HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:08:48 +0900] "GET /EgovContent.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:08:48 +0900] "GET /EgovBottom.do HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:08:48 +0900] "GET /EgovTop.do HTTP/1.1" 200 4646
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:08:48 +0900] "GET /css/egovframework/com/cmm/main.css HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:08:48 +0900] "GET /EgovLeft.do HTTP/1.1" 200 38371
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:08:48 +0900] "GET /css/egovframework/com/com.css HTTP/1.1" 200 32527
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:08:48 +0900] "GET /uat/uia/egovLoginUsr.do HTTP/1.1" 200 9675
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:08:48 +0900] "GET /js/egovframework/com/cmm/jquery.js HTTP/1.1" 200 293430
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:08:48 +0900] "GET /images/egovframework/com/cmm/main/top_logo.png HTTP/1.1" 200 3333
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:08:48 +0900] "GET /js/egovframework/com/cmm/showModalDialog.js HTTP/1.1" 200 2440
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:08:48 +0900] "GET /css/egovframework/com/uat/uia/login.css HTTP/1.1" 200 2350
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:08:48 +0900] "GET /images/egovframework/com/uat/uia/login_tit.png HTTP/1.1" 200 4386
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:08:48 +0900] "GET /EgovTop.do HTTP/1.1" 200 4646
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:08:48 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:08:56 +0900] "POST /uat/uia/actionLogin.do HTTP/1.1" 200 9756
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:08:57 +0900] "GET /EgovTop.do HTTP/1.1" 200 4646
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:09:05 +0900] "POST /uat/uia/actionLogin.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:09:05 +0900] "GET /EgovContent.do HTTP/1.1" 200 4142
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:09:05 +0900] "GET /egovframework-all-in-one/css/egovframework/com/cmm/jqueryui.css HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:09:05 +0900] "GET /images/egovframework/com/cmm/icon/tit_icon.png HTTP/1.1" 200 1155
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:09:06 +0900] "GET /js/egovframework/com/cmm/jqueryui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:09:06 +0900] "GET /EgovTop.do HTTP/1.1" 200 4994
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:09:06 +0900] "GET /uat/uia/noticeExpirePwd.do HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:09:06 +0900] "GET /css/egovframework/com/button.css HTTP/1.1" 200 2222
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:09:10 +0900] "GET /sec/rmt/EgovRoleList.do HTTP/1.1" 200 13260
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:09:10 +0900] "GET /images/egovframework/com/cmm/btn/btn_search.gif HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [14/Jan/2022:19:09:14 +0900] "POST /sec/rmt/EgovRole.do HTTP/1.1" 200 5776
