127.0.0.1 - - [08/Jan/2022:12:47:08 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:47:24 +0900] "GET /security/ HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:47:27 +0900] "GET /ddit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:47:27 +0900] "GET /ddit/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:47:28 +0900] "GET /ddit/common/loginTimeOut HTTP/1.1" 302 1815
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:47:28 +0900] "GET /ddit/resources/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:47:29 +0900] "GET /ddit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:47:29 +0900] "GET /ddit/ HTTP/1.1" 200 8190
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:47:29 +0900] "GET /ddit/common/loginForm.do HTTP/1.1" 200 3083
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:47:30 +0900] "POST /ddit/common/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:47:30 +0900] "GET /ddit/index.do HTTP/1.1" 200 12265
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:47:30 +0900] "GET /ddit/member/getPicture.do?picture=b26c142428c648bf92425d33d8679f52$$%EC%B9%B4%ED%91%B8%EC%B9%98%EB%85%B8.jpg HTTP/1.1" 201 47705
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:47:31 +0900] "GET /ddit/main.do HTTP/1.1" 200 2736
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:47:42 +0900] "GET /ddit/index.do HTTP/1.1" 200 12271
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:47:42 +0900] "GET /ddit/member/getPicture.do?picture=b26c142428c648bf92425d33d8679f52$$%EC%B9%B4%ED%91%B8%EC%B9%98%EB%85%B8.jpg HTTP/1.1" 201 47705
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:47:43 +0900] "GET /ddit/main.do HTTP/1.1" 200 2736
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:48:17 +0900] "GET /ddit/index.do HTTP/1.1" 200 12284
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:48:17 +0900] "GET /ddit/member/getPicture.do?picture=b26c142428c648bf92425d33d8679f52$$%EC%B9%B4%ED%91%B8%EC%B9%98%EB%85%B8.jpg HTTP/1.1" 201 47705
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:48:18 +0900] "GET /ddit/main.do HTTP/1.1" 200 2736
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:48:25 +0900] "GET /ddit/main.do HTTP/1.1" 200 2736
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:48:25 +0900] "GET /ddit/subMenu.do?mCode=M010000 HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:48:26 +0900] "GET /ddit/member/main.do HTTP/1.1" 200 2742
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:48:27 +0900] "GET /ddit/main.do HTTP/1.1" 200 2736
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:48:28 +0900] "GET /ddit/member/main.do HTTP/1.1" 200 2742
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:48:28 +0900] "GET /ddit/subMenu.do?mCode=M010000 HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:48:29 +0900] "GET /ddit/subMenu.do?mCode=M020000 HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:48:29 +0900] "GET /ddit/notice/main.do HTTP/1.1" 200 2742
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:48:29 +0900] "GET /ddit/subMenu.do?mCode=M030000 HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:48:29 +0900] "GET /ddit/board/main.do HTTP/1.1" 200 2739
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:48:30 +0900] "GET /ddit/subMenu.do?mCode=M040000 HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:48:30 +0900] "GET /ddit/pds/main.do HTTP/1.1" 200 2733
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:48:30 +0900] "GET /ddit/member/main.do HTTP/1.1" 200 2742
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:48:30 +0900] "GET /ddit/subMenu.do?mCode=M010000 HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:48:31 +0900] "GET /ddit/notice/main.do HTTP/1.1" 200 2742
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:48:31 +0900] "GET /ddit/subMenu.do?mCode=M020000 HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:48:31 +0900] "GET /ddit/board/main.do HTTP/1.1" 200 2739
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:48:31 +0900] "GET /ddit/subMenu.do?mCode=M030000 HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:48:32 +0900] "GET /ddit/pds/main.do HTTP/1.1" 200 2733
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:48:32 +0900] "GET /ddit/subMenu.do?mCode=M040000 HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:48:33 +0900] "GET /ddit/main.do HTTP/1.1" 200 2736
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:48:43 +0900] "GET /ddit/common/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:48:43 +0900] "GET /ddit/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jan/2022:12:48:43 +0900] "GET /ddit/common/loginTimeOut HTTP/1.1" 302 1815
