127.0.0.1 - - [05/Jan/2022:15:10:22 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Jan/2022:15:10:29 +0900] "GET /ddit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jan/2022:15:10:30 +0900] "GET /ddit/ HTTP/1.1" 200 8190
0:0:0:0:0:0:0:1 - - [05/Jan/2022:15:10:30 +0900] "GET /ddit/resources/bootstrap/plugins/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2022:15:10:30 +0900] "GET /ddit/resources/bootstrap/dist/js/adminlte.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2022:15:10:30 +0900] "GET /ddit/resources/bootstrap/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2022:15:10:30 +0900] "GET /ddit/resources/bootstrap/dist/css/adminlte.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2022:15:10:30 +0900] "GET /ddit/resources/bootstrap/dist/img/AdminLTELogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2022:15:10:30 +0900] "GET /ddit/resources/bootstrap/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2022:15:10:30 +0900] "GET /ddit/resources/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2022:15:10:30 +0900] "GET /ddit/resources/bootstrap/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2022:15:10:30 +0900] "GET /ddit/resources/bootstrap/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2022:15:10:30 +0900] "GET /ddit/common/loginForm.do HTTP/1.1" 200 3083
0:0:0:0:0:0:0:1 - - [05/Jan/2022:15:10:30 +0900] "GET /ddit/resources/bootstrap/plugins/summernote/summernote-bs4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2022:15:10:30 +0900] "GET /ddit/resources/bootstrap/plugins/summernote/summernote-bs4.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2022:15:10:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Jan/2022:15:10:31 +0900] "POST /ddit/common/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jan/2022:15:10:31 +0900] "GET /ddit/index.do HTTP/1.1" 200 12265
0:0:0:0:0:0:0:1 - - [05/Jan/2022:15:10:31 +0900] "GET /ddit/member/getPicture.do?picture=b26c142428c648bf92425d33d8679f52$$%EC%B9%B4%ED%91%B8%EC%B9%98%EB%85%B8.jpg HTTP/1.1" 201 47705
0:0:0:0:0:0:0:1 - - [05/Jan/2022:15:10:31 +0900] "GET /ddit/main.do HTTP/1.1" 200 2736
0:0:0:0:0:0:0:1 - - [05/Jan/2022:15:10:33 +0900] "GET /ddit/subMenu.do?mCode=M010000 HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [05/Jan/2022:15:10:33 +0900] "GET /ddit/member/main.do HTTP/1.1" 200 2742
0:0:0:0:0:0:0:1 - - [05/Jan/2022:15:10:34 +0900] "GET /ddit/subMenu.do?mCode=M030000 HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [05/Jan/2022:15:10:34 +0900] "GET /ddit/board/main.do HTTP/1.1" 200 2739
0:0:0:0:0:0:0:1 - - [05/Jan/2022:15:10:35 +0900] "GET /ddit/board/list.do HTTP/1.1" 200 14148
0:0:0:0:0:0:0:1 - - [05/Jan/2022:15:10:35 +0900] "GET /ddit/board/detail.do?bno=28739&from=list HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jan/2022:15:10:36 +0900] "GET /ddit/board/detail.do?bno=28739 HTTP/1.1" 200 13598
0:0:0:0:0:0:0:1 - - [05/Jan/2022:15:10:36 +0900] "GET /ddit/replies/28739/1 HTTP/1.1" 200 1985
0:0:0:0:0:0:0:1 - - [05/Jan/2022:15:10:36 +0900] "GET /ddit/member/getPictureById.do/mimi HTTP/1.1" 201 47705
