127.0.0.1 - - [01/Jan/2022:14:20:03 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Jan/2022:14:20:14 +0900] "GET /springMVC/ HTTP/1.1" 200 11548
0:0:0:0:0:0:0:1 - - [01/Jan/2022:14:20:14 +0900] "GET /springMVC/images/egovframework/example/title_dot.gif;jsessionid=F21B8F5BAD3D8397F3AB531ADA6A76DA HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [01/Jan/2022:14:20:14 +0900] "GET /springMVC/css/egovframework/sample.css;jsessionid=F21B8F5BAD3D8397F3AB531ADA6A76DA HTTP/1.1" 200 10111
0:0:0:0:0:0:0:1 - - [01/Jan/2022:14:20:14 +0900] "GET /springMVC/images/egovframework/example/btn_bg_r.gif;jsessionid=F21B8F5BAD3D8397F3AB531ADA6A76DA HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [01/Jan/2022:14:20:14 +0900] "GET /springMVC/images/egovframework/cmmn/btn_page_pre10.gif HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [01/Jan/2022:14:20:14 +0900] "GET /springMVC/images/egovframework/cmmn/btn_page_next1.gif HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [01/Jan/2022:14:20:14 +0900] "GET /springMVC/images/egovframework/cmmn/btn_page_pre1.gif HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [01/Jan/2022:14:20:14 +0900] "GET /springMVC/images/egovframework/cmmn/btn_page_next10.gif HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [01/Jan/2022:14:20:14 +0900] "GET /springMVC/images/egovframework/example/th_bg.gif HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [01/Jan/2022:14:20:14 +0900] "GET /springMVC/images/egovframework/example/btn_bg_l.gif HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [01/Jan/2022:14:20:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Jan/2022:14:20:38 +0900] "POST /springMVC/egovSampleList.do;jsessionid=F21B8F5BAD3D8397F3AB531ADA6A76DA HTTP/1.1" 200 11184
0:0:0:0:0:0:0:1 - - [01/Jan/2022:14:20:38 +0900] "GET /springMVC/css/egovframework/sample.css HTTP/1.1" 200 10111
0:0:0:0:0:0:0:1 - - [01/Jan/2022:14:20:38 +0900] "GET /springMVC/images/egovframework/example/title_dot.gif HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [01/Jan/2022:14:20:38 +0900] "GET /springMVC/images/egovframework/example/btn_bg_r.gif HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [01/Jan/2022:14:20:38 +0900] "GET /springMVC/images/egovframework/cmmn/btn_page_pre10.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jan/2022:14:20:38 +0900] "GET /springMVC/images/egovframework/cmmn/btn_page_pre1.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jan/2022:14:20:38 +0900] "GET /springMVC/images/egovframework/cmmn/btn_page_next1.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jan/2022:14:20:38 +0900] "GET /springMVC/images/egovframework/cmmn/btn_page_next10.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jan/2022:14:20:38 +0900] "GET /springMVC/images/egovframework/example/btn_bg_l.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jan/2022:14:20:38 +0900] "GET /springMVC/images/egovframework/example/th_bg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jan/2022:14:20:39 +0900] "POST /springMVC/egovSampleList.do HTTP/1.1" 200 11179
0:0:0:0:0:0:0:1 - - [01/Jan/2022:14:20:39 +0900] "POST /springMVC/egovSampleList.do HTTP/1.1" 200 11179
